Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,PointsFromRushingYards,PFRY_PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRushingTDs,PFRTD_PCT_TOTAL,ReceivingTargets,Receptions,PointsFromRec,PFREC_PCT_TOTAL,ReceivingYards,PointsFromRecYds,PFRECY_PCT_TOTAL,ReceivingTouchdowns,PointsFromRecTDs,PFRECTD_PCT_TOTAL,Fumbles,FumblesLost,PointsFromFumblesLost,PFFUM_PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
94,20790,Damien Harris,BUF,RB,6,23,94,9.4,0.49,4.1,1,6,0.32,2,2,2,0.11,16,1.6,0.08,0,0,0,0,0,0,0,3.2,19
96,23341,Tyler Goodson,IND,RB,6,13,87,8.7,0.48,6.7,0,0,0,9,6,6,0.33,34,3.4,0.19,0,0,0,0,0,0,0,3,18.1
97,23298,Raheem Blackshear,CAR,RB,12,14,46,4.6,0.3,3.3,0,0,0,7,6,6,0.4,45,4.5,0.3,0,0,0,0,0,0,0,1.4,15.1
98,24178,Israel Abanikanda,NYJ,RB,7,22,70,7,0.43,3.2,0,0,0,11,7,7,0.43,43,4.3,0.26,0,0,0,1,1,-2,-0.12,2.3,16.3
99,19209,Patrick Ricard,BAL,FB,17,0,0,0,0,0,0,0,0,7,5,5,0.31,52,5.2,0.32,1,6,0.37,0,0,0,0,1,16.2
100,20039,Boston Scott,PHI,RB,15,20,86,8.6,0.54,4.3,0,0,0,6,4,4,0.25,52,5.2,0.33,0,0,0,1,1,-2,-0.13,1.1,15.8
101,24188,Deuce Vaughn,DAL,RB,8,23,40,4,0.27,1.7,0,0,0,7,7,7,0.47,40,4,0.27,0,0,0,0,0,0,0,1.9,15
102,20990,Trayveon Williams,CIN,RB,17,15,69,6.9,0.46,4.6,0,0,0,9,7,7,0.47,10,1,0.07,0,0,0,0,0,0,0,0.9,14.9
103,24309,Emanuel Wilson,GB,RB,7,14,85,8.5,0.57,6.1,0,0,0,5,4,4,0.27,23,2.3,0.16,0,0,0,1,0,0,0,2.1,14.8
104,22560,Keaontay Ingram,KC,RB,8,35,74,7.4,0.53,2.1,0,0,0,4,4,4,0.29,26,2.6,0.19,0,0,0,0,0,0,0,1.8,14
104,21797,La'Mical Perine,KC,RB,5,22,77,7.7,0.55,3.5,0,0,0,5,3,3,0.21,33,3.3,0.24,0,0,0,0,0,0,0,2.8,14
106,20159,Mike Boone,HOU,RB,9,5,23,2.3,0.17,4.6,0,0,0,9,7,7,0.53,40,4,0.3,0,0,0,1,0,0,0,1.5,13.3
107,23195,Eric Gray,NYG,RB,13,17,48,4.8,0.37,2.8,0,0,0,7,6,6,0.46,22,2.2,0.17,0,0,0,3,0,0,0,1,13
108,24278,Hunter Luepke,DAL,RB,17,6,19,1.9,0.15,3.2,1,6,0.47,4,3,3,0.24,18,1.8,0.14,0,0,0,0,0,0,0,0.7,12.7
109,21674,J.K. Dobbins,BAL,RB,1,8,22,2.2,0.19,2.8,1,6,0.51,3,2,2,0.17,15,1.5,0.13,0,0,0,0,0,0,0,11.7,11.7
110,22672,Gary Brightwell,NYG,RB,7,9,19,1.9,0.16,2.1,0,0,0,7,5,5,0.43,47,4.7,0.41,0,0,0,0,0,0,0,1.7,11.6
111,20018,Nick Bawden,NYJ,FB,16,2,4,0.4,0.03,2,1,6,0.52,3,3,3,0.26,21,2.1,0.18,0,0,0,0,0,0,0,0.7,11.5
112,13741,Brandon Bolden,LV,RB,17,4,31,3.1,0.34,7.8,1,6,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,9.1
113,23192,Chris Brooks,MIA,RB,9,19,106,10.6,1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,10.6
114,19626,Dare Ogunbowale,HOU,RB,12,8,35,3.5,0.48,4.4,0,0,0,7,2,2,0.27,18,1.8,0.25,0,0,0,0,0,0,0,0.9,7.3
115,21804,DeeJay Dallas,SEA,RB,17,10,36,3.6,0.35,3.6,0,0,0,9,6,6,0.59,26,2.6,0.25,0,0,0,2,1,-2,-0.2,0.6,10.2
115,18652,C.J. Ham,MIN,FB,17,1,7,0.7,0.07,7,0,0,0,9,7,7,0.69,25,2.5,0.25,0,0,0,0,0,0,0,0.6,10.2
117,16031,Damien Williams,ARI,RB,3,11,43,4.3,0.57,3.9,0,0,0,2,2,2,0.27,12,1.2,0.16,0,0,0,0,0,0,0,2.5,7.5
118,16928,Michael Burton,DEN,FB,17,7,9,0.9,0.19,1.3,0,0,0,3,3,3,0.64,8,0.8,0.17,0,0,0,0,0,0,0,0.4,4.7
119,21788,Ke'Shawn Vaughn,TB,RB,6,24,42,4.2,0.66,1.8,0,0,0,5,2,2,0.31,2,0.2,0.03,0,0,0,0,0,0,0,1.1,6.4
120,16378,Keith Smith,ATL,FB,13,0,0,0,0,0,0,0,0,3,3,3,0.48,33,3.3,0.52,0,0,0,0,0,0,0,0.5,6.3
121,21310,Khari Blasingame,CHI,FB,16,8,26,2.6,0.45,3.2,0,0,0,6,3,3,0.52,2,0.2,0.03,0,0,0,0,0,0,0,0.4,5.8
122,24194,Sean Tucker,TB,RB,11,15,23,2.3,0.44,1.5,0,0,0,2,2,2,0.38,9,0.9,0.17,0,0,0,0,0,0,0,0.5,5.2
123,19799,Rashaad Penny,PHI,RB,3,11,33,3.3,0.69,3,0,0,0,1,1,1,0.21,5,0.5,0.1,0,0,0,0,0,0,0,1.6,4.8
124,23301,Jashaun Corbin,NYG,RB,6,1,1,0.1,0.02,1,0,0,0,3,3,3,0.7,12,1.2,0.28,0,0,0,0,0,0,0,0.7,4.3
124,19072,Alex Armah,WAS,RB,8,0,0,0,0,0,0,0,0,3,3,3,0.7,13,1.3,0.3,0,0,0,0,0,0,0,0.5,4.3
126,22674,Deon Jackson,NYG,RB,4,14,16,1.6,0.4,1.1,0,0,0,6,5,5,1.25,14,1.4,0.35,0,0,0,2,2,-4,-1,1,4
126,18803,Leonard Fournette,BUF,RB,2,12,40,4,1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
128,24626,Elijah Dotson,LAC,RB,4,4,6,0.6,0.15,1.5,0,0,0,2,2,2,0.51,13,1.3,0.33,0,0,0,0,0,0,0,1,3.9
129,22678,Jake Funk,IND,RB,4,2,10,1,0.31,5,0,0,0,1,1,1,0.31,12,1.2,0.38,0,0,0,0,0,0,0,0.8,3.2
130,23847,Zonovan Knight,DET,RB,2,3,13,1.3,0.42,4.3,0,0,0,1,1,1,0.32,8,0.8,0.26,0,0,0,0,0,0,0,1.6,3.1
