Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Easop Winston Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Cooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,6.8
Elijah Moore,9.2,7.1,11.8,2,0,6.7,9.9,5,3.4,15.4,12,5.4,12.3,7.2,3.7,3.9,17.1,0,132.1
Equanimeous St. Brown,0,0,0,3.1,0,0,0,0,0,1.4,3.9,0,0,0,0,0,0,2.8,11.2
Erik Ezukanma,1.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
Ethan Fernea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Darby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Davis,5.2,21.2,10.3,15.1,22,3.1,1.6,23.7,0,9.6,0,22.5,0,0,0,23,4.1,0,161.4
Garrett Wilson,14.4,16.3,9.8,15,8.4,17,0,17.6,13,18.3,0.9,17.4,8,20.1,5.9,15.8,9.9,5.4,213.2
George Pickens,8.6,22.7,11.5,5.5,26.6,0,15.7,9.2,1.9,7.5,7.7,8.8,12.6,6.9,7.7,35.5,20.1,0.3,208.8
Greg Dortch,0,0,0,0,0,0,0,0,1.2,0,13.6,11.7,2.9,0,4,12.5,15.2,3.4,64.5
Gunner Olszewski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Renfrow,0,3.3,3.7,3.2,1.7,0,3.4,3.9,5.2,1.5,9.2,7.8,0,5.6,0,0,0,0,48.5
Ihmir Smith-Marsette,0,0,0,0,0,0,0,0,0,0,0,2.4,0,1,5.2,12.1,4.2,1.6,26.5
Irvin Charles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Hodgins,1.4,14,0,5.4,3.9,0,3.3,0,0,0,4.2,8.2,0,10.2,0,0,2.8,6.6,60
Isaiah McKenzie,0,1.7,1.3,1.6,0.4,4.3,0.7,0,3.2,7.1,0,0.3,0,0,0,0,0,0,20.6
Jacob Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaelon Darden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahan Dotson,9,5.2,4.1,12.7,6,0,9.3,24.8,16.9,0,11.3,10.2,4.3,0,2.2,5.1,0,3.7,124.8
