Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Mike Gesicki,6.6,8.3,2.8,2.2,3.7,5.8,8.5,3.1,0,4.2,0,0,0,0,1.7,9.5,7.5,1.5,65.4
Mitchell Wilcox,0,0,3,1.7,0,0,0,0,0,0,0,1.1,2.2,1,4,1.6,0,0,14.6
Mo Alie-Cox,0,2.5,0,10.5,2.7,0,0.4,2.1,0,0,0,4,0,7.2,10.1,0,3.8,5.8,49.1
MyCole Pruitt,0,0,2,0,3.2,1.9,0,1.3,0,0,0,0,9,3.5,0,0,2.4,2.7,26
Nate Adkins,0,0,2.1,2.8,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,6.2
Nick Muse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.2
Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3
Noah Fant,0,9.6,8.1,8.3,0,1.9,3.5,5.2,0,2.6,1.4,4.5,7.3,5.5,4.6,0,10.9,0,73.4
Noah Gray,6.1,6.8,1.9,10.4,4.1,3.5,1.8,4.5,6.4,0,0,6,7.2,0,5.7,1.5,4.7,0,70.6
Noah Togiai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Hesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat Freiermuth,7.3,1.2,13.1,3.7,0,0,0,0,0,0,1.7,21,5.9,6.8,4.6,0,7.4,4.1,76.8
Payne Durham,0,0,0,0,0,1.8,0,0,0,0,3.3,2.2,0,0,0,3.5,0,0,10.8
Peyton Hendershot,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.6,3.4,7.8
Pharaoh Brown,0,0,15.1,0,0,2.5,7.1,5.3,0,0,0,0,0,1.4,1.4,4.5,-0.5,1,37.8
Princeton Fant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintin Morris,0,0,0,0,0,8.5,0,0,0,0,2.1,0,0,0,0,0,0,0,10.6
Robert Tonyan,0,0,0,3.8,3,2.1,0,1.8,2.1,0,0,0,0,0,0,2.4,7,0,22.2
Rodney Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Dwelley,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,2.2
